Last Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
,CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,0,,,,0,0
,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.5,,,,0,0
,PARAGON CEYLON PLC,PARA.N0000,0,,,,0,0
,OFFICE EQUIPMENT PLC,OFEQ.N0000,0,,,,0,0
,CEYLON & FOREIGN TRADES PLC,CFT.N0000,0,,,,0,0
,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0,,,,0,0
,TESS AGRO PLC,TESS.N0000,0,,,,0,0
,CEYLINCO INSURANCE PLC,CINS.N0000,1955,,,,0,0
,STANDARD CAPITAL PLC,SING.N0000,0,,,,0,0
,MTD WALKERS PLC,KAPI.N0000,0,,,,0,0
,LANKA CEMENT PLC,LCEM.N0000,0,,,,0,0
,CEYLON PRINTERS PLC,CPRT.N0000,0,,,,0,0
,AGSTAR PLC,AGST.X0000,5,,,,0,0
,ADAM CAPITAL PLC,PCHH.N0000,0,,,,0,0
,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0,,,,0,0
,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,,,,0,0
,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,2600,,,,0,0
,SENKADAGALA FINANCE PLC,SFCL.N0000,90.53,,,,0,0
,TESS AGRO PLC,TESS.X0000,0,,,,0,0
,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0,,,,0,0
,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,0,,,,0,0
,ADAM INVESTMENTS PLC,AINV.N0000,0,,,,0,0
,SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,17987,,,,0,0
01:04 PM,CONVENIENCE FOODS (LANKA )PLC,SOY.N0000,1250,11,192,239015.75,45,3.73
01:04 PM,ARPICO INSURANCE PLC,AINS.N0000,22.4,16,2315,52068.5,0.2,0.9
01:07 PM,TRANS ASIA HOTELS PLC,TRAN.N0000,58.6,7,1210,70851.1,0.5,0.86
01:07 PM,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,154.25,7,2020,311760,-3,-1.91
01:10 PM,SERENDIB HOTELS PLC,SHOT.X0000,11,5,107,1179.9,0.4,3.77
01:21 PM,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11.6,3,870,10091,0,0
01:24 PM,C T LAND DEVELOPMENT PLC,CTLD.N0000,25.5,7,15010,383255.5,0,0
01:25 PM,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,16.8,1,10,160,0,0
01:26 PM,KAHAWATTE PLANTATIONS PLC,KAHA.N0000,27.9,4,110,3070,-0.1,-0.36
01:27 PM,MAHAWELI REACH HOTELS PLC,MRH.N0000,14.2,4,630,8946,-0.1,-0.7
01:27 PM,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,6.8,16,11854,80608.3,-0.1,-1.45
01:27 PM,KELSEY DEVELOPMENTS PLC,KDL.N0000,32.5,1,10,321,0,0
01:36 PM,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,750,3,5,3913,0,0
01:36 PM,HIKKADUWA BEACH RESORT PLC,CITH.N0000,6,5,5375,32248,0.1,1.69
01:36 PM,LANKA ASHOK LEYLAND PLC,ASHO.N0000,707,11,503,355703.75,5.25,0.75
01:36 PM,RENUKA CITY HOTEL PLC,RENU.N0000,233,2,3,708,0,0
01:38 PM,LANKA CERAMIC PLC,CERA.N0000,154.25,53,7625,1187836,-4.5,-2.83
01:41 PM,LANKEM CEYLON PLC,LCEY.N0000,26.9,68,41082,1114659.3,0.8,3.07
01:43 PM,COLOMBO DOCKYARD PLC,DOCK.N0000,75,11,8190,614224,2.1,2.88
01:43 PM,SERENDIB HOTELS PLC,SHOT.N0000,16.3,5,3139,51156.8,0.1,0.62
01:44 PM,BROWNS BEACH HOTELS PLC,BBH.N0000,10.4,49,96571,994554.9,0.3,2.97
01:44 PM,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,37,15,14616,540537.2,0,0
01:45 PM,GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,32.7,28,15243,500976.3,0.5,1.55
01:45 PM,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10,78,45372,462264.6,0.8,8.7
01:45 PM,LION BREWERY CEYLON PLC,LION.N0000,565.5,2,11,6229.5,0,0
01:45 PM,ODEL PLC,ODEL.N0000,19,11,2106,40267,0,0
01:48 PM,UNITED MOTORS LANKA PLC,UML.N0000,77,35,18784,1447147.1,-0.5,-0.65
01:48 PM,CEYLON HOSPITALS PLC (DURDANS),CHL.N0000,105,5,3023,317685,-1.75,-1.64
01:49 PM,SATHOSA MOTORS PLC,SMOT.N0000,235.25,2,8,1835.25,0,0
01:50 PM,EQUITY TWO PLC,ETWO.N0000,57.6,6,26,1672.9,0,0
01:53 PM,SERENDIB LAND PLC,SLND.N0000,2211,2,2,4460,0,0
01:53 PM,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,5.8,13,13370,78110,-0.2,-3.33
01:53 PM,CITRUS LEISURE PLC,REEF.N0000,10.5,24,60479,635631.5,-0.1,-0.94
01:53 PM,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,13.7,29,13949,192600.8,0,0
01:56 PM,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,157.5,43,5305,833445.5,6.75,4.48
01:56 PM,THE FORTRESS RESORTS PLC,RHTL.N0000,10.7,15,7601,82301.4,-0.4,-3.6
01:57 PM,SINGER FINANCE (LANKA) PLC,SFIN.N0000,16.2,46,56542,916110.7,0.3,1.89
01:57 PM,PRINTCARE PLC,CARE.N0000,31.9,14,21906,699797.3,0.1,0.31
01:57 PM,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,500,34,1792,895102,-4.5,-0.89
01:58 PM,RENUKA AGRI FOODS PLC,RAL.N0000,4,31,122578,481870.8,0,0
01:58 PM,SOFTLOGIC CAPITAL PLC,SCAP.N0000,3.7,34,175570,660846.9,-0.1,-2.63
01:59 PM,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,6,7,5432,32477.6,0,0
01:59 PM,ACME PRINTING & PACKAGING PLC,ACME.N0000,6.2,6,6610,41062,-0.1,-1.59
01:59 PM,E-CHANNELLING PLC,ECL.N0000,6,27,12073,73165.8,0,0
02:00 PM,RENUKA HOLDINGS PLC,RHL.X0000,12,11,14311,170858.7,0,0
02:00 PM,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,72,55,27760,1965851.4,-0.7,-0.96
02:01 PM,BUKIT DARAH PLC,BUKI.N0000,304.5,23,1837,559457.75,-1.25,-0.41
02:01 PM,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,46.3,44,46052,2096355.8,-0.4,-0.86
02:01 PM,ASIA CAPITAL PLC,ACAP.N0000,5.7,78,367358,2061320,0.4,7.55
02:03 PM,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,129.5,5,916,118687.25,2.5,1.97
02:05 PM,LANKA VENTURES PLC,LVEN.N0000,57.1,7,23631,1349216.8,-0.1,-0.17
02:05 PM,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,25.3,13,1802,45591.4,-0.9,-3.44
02:05 PM,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,19,8,12105,230115,0,0
02:06 PM,CARGILLS (CEYLON) PLC,CARG.N0000,245,26,13535,3316830,-0.5,-0.2
02:06 PM,CEYLON HOSPITALS PLC (DURDANS),CHL.X0000,89,6,10801,961349,-1,-1.11
02:06 PM,HUNAS FALLS HOTELS PLC,HUNA.N0000,175,6,337,58934.75,3,1.74
02:08 PM,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,155,13,315,48902,0,0
02:09 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.8,10,21985,17574.2,0,0
02:09 PM,PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,7.1,7,2160,15356,0,0
02:10 PM,EASTERN MERCHANTS PLC,EMER.N0000,6.5,133,495896,3231399.5,0.2,3.17
02:10 PM,HOTEL SIGIRIYA PLC,HSIG.N0000,79.4,23,11308,887138.8,1.6,2.06
02:10 PM,AMBEON CAPITAL PLC,TAP.N0000,5.8,63,145052,853935.2,0.1,1.75
02:11 PM,SRI LANKA TELECOM PLC,SLTL.N0000,34.4,29,14934,512900.6,0.4,1.18
02:11 PM,SANASA DEVELOPMENT BANK PLC,SDB.N0000,50.9,70,36278,1856327.5,-0.2,-0.39
02:12 PM,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,116,10,3009,348029.25,0.75,0.65
02:13 PM,JOHN KEELLS HOTELS PLC,KHL.N0000,10.5,58,77174,817423.2,-0.3,-2.78
02:13 PM,UNION ASSURANCE PLC,UAL.N0000,284.75,7,186,53034,-0.25,-0.09
02:13 PM,DANKOTUWA PORCELAIN PLC,DPL.N0000,12.9,74,128052,1666134.4,-0.1,-0.77
02:14 PM,RENUKA FOODS PLC,COCO.X0000,11,6,2210,24310,0,0
02:14 PM,LOTUS HYDRO POWER PLC,HPFL.N0000,10,12,4668,46882,-0.4,-3.85
02:14 PM,SHALIMAR (MALAY) PLC,SHAL.N0000,1036.5,5,42,47374,0,0
02:15 PM,VIDULLANKA PLC,VLL.N0000,6,14,12449,74641.8,0,0
02:15 PM,MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000,15,33,100506,1486049.2,0.5,3.45
02:16 PM,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,31.1,32,10172,316994,-0.4,-1.27
02:16 PM,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,1151,13,31,35401.5,0,0
02:18 PM,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,34.1,17,3081,105843.5,-0.9,-2.57
02:18 PM,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,14.6,19,4828,70271.4,-0.1,-0.68
02:18 PM,YORK ARCADE HOLDINGS PLC,YORK.N0000,200.5,25,1072,216936.75,-7.5,-3.61
02:18 PM,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,17.1,89,412543,7014363.6,0.1,0.59
02:19 PM,AMANA BANK PLC,ABL.N0000,3.2,25,97810,307190.8,0,0
02:19 PM,KOTMALE HOLDINGS PLC,LAMB.N0000,381,4,17,6807.25,0,0
02:19 PM,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,9.1,10,1729,15611,0.1,1.11
02:20 PM,ACL PLASTICS PLC,APLA.N0000,269.25,26,5333,1436916.5,2.25,0.84
02:20 PM,SAMSON INTERNATIONAL PLC,SIL.N0000,188,16,1664,325145.5,0,0
02:21 PM,AGSTAR PLC,AGST.N0000,7.6,15,29818,227321.2,0.1,1.33
02:21 PM,MARAWILA RESORTS PLC,MARA.N0000,2.1,52,449754,906648.4,0,0
02:21 PM,MACKWOODS ENERGY PLC,MEL.N0000,2.8,45,215038,603223,0,0
02:22 PM,RICHARD PIERIS EXPORTS PLC,REXP.N0000,396,33,2318,914538.25,1.75,0.44
02:22 PM,LOLC DEVELOPMENT FINANCE PLC,NIFL.N0000,464.75,308,7057,3129447,92.75,24.93
02:22 PM,KEGALLE PLANTATIONS PLC,KGAL.N0000,122,54,8216,993028.75,0.75,0.62
02:22 PM,SINGHE HOSPITALS PLC,SINH.N0000,2.3,62,467214,1064446.2,0,0
02:23 PM,LANKEM DEVELOPMENTS PLC,LDEV.N0000,4.5,41,352350,1591881.4,-0.1,-2.17
02:23 PM,PRIME FINANCE PLC,GSF.N0000,12.1,29,19860,242744.7,-0.6,-4.72
02:23 PM,RENUKA CAPITAL PLC,KZOO.N0000,6.7,58,301981,2025666,-0.2,-2.9
02:23 PM,MASKELIYA PLANTATIONS PLC,MASK.N0000,12.3,29,7560,92255.9,0.3,2.5
02:23 PM,MADULSIMA PLANTATIONS PLC,MADU.N0000,8.9,6,4089,36392.1,-0.1,-1.11
02:24 PM,TAL LANKA HOTELS PLC,TAJ.N0000,14.2,8,2115,30094.9,-0.3,-2.07
02:24 PM,PALM GARDEN HOTELS PLC,PALM.N0000,58.1,65,20213,1168502.5,0.1,0.17
02:24 PM,THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,15,57,75365,1135692.9,0.5,3.45
02:24 PM,PANASIAN POWER PLC,PAP.N0000,4.1,30,261373,1072529.3,-0.1,-2.38
02:24 PM,ORIENT FINANCE PLC,BFN.N0000,15.6,11,65952,1027731.2,0.1,0.65
02:24 PM,JOHN KEELLS PLC,JKL.N0000,68.3,14,1804,123287.3,1.7,2.55
02:24 PM,ELPITIYA PLANTATIONS PLC,ELPL.N0000,46,39,21784,1002717.3,-0.5,-1.08
02:24 PM,CEYLINCO INSURANCE PLC,CINS.X0000,999.75,27,649,648979.5,-0.25,-0.03
02:25 PM,SINGER (SRI LANKA) PLC,SINS.N0000,18.8,95,147788,2780542.1,-0.2,-1.05
02:25 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.5,12,51939,22696.9,0,0
02:25 PM,BERUWALA RESORTS PLC,BERU.N0000,1,31,299633,271435.5,0,0
02:25 PM,B P P L HOLDINGS PLC,BPPL.N0000,19.6,77,86298,1701485.5,-0.4,-2
02:25 PM,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,55.9,107,89474,5027468.1,-0.5,-0.89
02:25 PM,ABANS FINANCE PLC,AFSL.N0000,30,11,38652,1160916.3,-1,-3.23
02:25 PM,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,1.1,17,103294,113642.7,0,0
02:25 PM,RENUKA HOLDINGS PLC,RHL.N0000,15.1,36,170279,2550701.9,-0.2,-1.31
02:25 PM,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,8.5,185,883951,7506314.6,0.1,1.19
02:25 PM,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,90.1,73,44687,4025214.9,-0.6,-0.66
02:25 PM,LAUGFS GAS PLC,LGL.X0000,13.5,98,100571,1329194.7,-0.1,-0.74
02:25 PM,LAXAPANA BATTERIES PLC,LITE.N0000,14.9,22,7838,116556.5,0.3,2.05
02:26 PM,KEELLS FOOD PRODUCTS PLC,KFP.N0000,170,7,31,5193.75,0,0
02:26 PM,ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,3.2,158,1007810,3211914.5,-0.2,-5.88
02:26 PM,REGNIS(LANKA) PLC,REG.N0000,81,48,29157,2358849.5,-0.9,-1.1
02:26 PM,CEYLON TOBACCO COMPANY PLC,CTC.N0000,975,18,3165,3087917,-4,-0.41
02:26 PM,UNISYST ENGINEERING PLC,ALUF.N0000,9,71,93176,835760.9,0.2,2.27
02:26 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,134.75,10,3153,424678.75,-1.25,-0.92
02:26 PM,SIERRA CABLES PLC,SIRA.N0000,7.3,27,45372,331036.8,0,0
02:26 PM,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,36,13,5224,186384.6,0.1,0.28
02:26 PM,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,25.2,127,148814,3769741.3,-0.6,-2.33
